"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"M., Basha, Manaal; G., Rodriguez-Perez, Gema","Basha, Manaal (58868348800); Rodriguez-Perez, Gema (57189508418)","58868348800; 57189508418","Trust, transparency, and adoption in generative AI for software engineering: Insights from Twitter discourse","2025","Information and Software Technology","186","","107804","","","0","1","10.1016/j.infsof.2025.107804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008187821&doi=10.1016%2Fj.infsof.2025.107804&partnerID=40&md5=c6e57073dedee3673f8f5034504a2506","Context: The rise of AI-driven coding assistants, such as GitHub Copilot and ChatGPT, are transforming software development practices. Despite their growing impact, informal user feedback on these tools is often neglected. Objective: This study aims to analyze Twitter/X conversations to understand user opinions on the benefits, challenges, and barriers associated with Code Generation Tools (CGTs) in software engineering. By incorporating diverse perspectives from developers, hobbyists, students, and critics, this research provides a comprehensive view of public sentiment. Methods: We employed a hybrid approach using BERTopic and open coding to collect and analyze data from approximately 90,000 tweets. The focus was on identifying themes and sentiments related to various CGTs. The study sought to determine the most frequently discussed topics and their related sentiment, followed by highlighting the reoccurring feedback or criticisms that could influence generative AI (GenAI) adoption in software engineering. Results: Our analysis identified several significant themes, including productivity enhancements, shifts in developer practices, regulatory uncertainty, and a demand for neutral GenAI content. While some users praised the efficiency benefits of CGTs, others raised concerns regarding intellectual property, transparency, and potential biases. Conclusion: The findings highlight that addressing issues of trust, accountability, and legal clarity is essential for the successful integration of CGTs in software development. These insights underscore the need for ongoing dialogue and refinement of CGTs to better align with user expectations and mitigate concerns. © 2025 Elsevier B.V., All rights reserved.","Ai Adoption; Code Generation Tools; Generative Ai; Human-ai Interaction; Codes (symbols); Computer Programming; Feedback; Software Design; Ai Adoption; Code Generation Tools; Generative Ai; Human-ai Interaction; Hybrid Approach; Productivity Enhancement; Public Sentiments; Software Development Practices; Uncertainty; User Feedback; Transparency","Codes (symbols); Computer programming; Feedback; Software design; AI adoption; Code generation tools; Generative AI; Human-AI interaction; Hybrid approach; Productivity enhancement; Public sentiments; Software development practices; Uncertainty; User feedback; Transparency","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008187821"
"D., Rodríguez-Cárdenas, Daniel","Rodríguez-Cárdenas, Daniel (57215224368)","57215224368","Towards More Interpretable Large Language Models for Code","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","","","","1270","1272","0","0","10.1145/3696630.3731464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013965660&doi=10.1145%2F3696630.3731464&partnerID=40&md5=4e5b2739f28a7fee0add42e2791bdbcc","Large Language Models (LLMc) have shown significant potential in automating software engineering tasks, particularly in code generation. This research bridges the gap between rigorous causal analysis and human interpretability in evaluating LLMc within software engineering (SE) contexts. The study introduces a novel approach InterpretSE that combines a taxonomy of code syntax concepts with a token clustering method to enhance the interpretability of LLMc outputs, facilitate debugging, and advance the field of interpretable AI for SE. A dynamic benchmark is proposed, comprising a testbed, a metric, and a protocol for applying the metric. To bridge the gap between statistical rigor and human interpretability, we propose to introduce a taxonomy of code syntax concepts. This taxonomy maps low-level, non-interpretable tokens to higher-level, human-understandable concepts, enabling practitioners to debug LLMc outputs effectively. The research aims to address two key challenges in LLMc evaluation: the lack of formal, transparent, and interpretable benchmarking methods, and the difficulty in interpreting LLMc outputs due to the complexity of token-level representations. By providing a dynamic, causal analysis-driven benchmark and a human-interpretable taxonomy, this work offers actionable insights for improving LLMc behavior, supporting prompt engineering, and advancing the reliability and effectiveness of LLMc in SE tasks. The expected contribution is a significant advancement in the field of interpretable AI for software engineering, enabling more rigorous and reliable evaluation of LLMc capabilities and limitations. © 2025 Elsevier B.V., All rights reserved.","Code Generation; Deep Learning; Interpretability; Transformers; Behavioral Research; Benchmarking; Codes (symbols); Computational Linguistics; Computer Debugging; Program Debugging; Software Engineering; Syntactics; Benchmarking Methods; Causal Analysis; Clustering Methods; Codegeneration; Deep Learning; Engineering Tasks; Interpretability; Language Model; Transformer","Behavioral research; Benchmarking; Codes (symbols); Computational linguistics; Computer debugging; Program debugging; Software engineering; Syntactics; Benchmarking methods; Causal analysis; Clustering methods; Codegeneration; Deep learning; Engineering tasks; Interpretability; Language model; Transformer","Conference paper","Final","All Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-105013965660"
"Ł., Chomątek, Łukasz; J., Papuga, Jakub; P., Nowak, Przemysław; A., Poniszewska-Marańda, Aneta","Chomątek, Łukasz (35090056200); Papuga, Jakub (60059568800); Nowak, Przemysław (57529714400); Poniszewska-Marańda, Aneta (8717200400)","35090056200; 60059568800; 57529714400; 8717200400","Decoding CI/CD Practices in Open-Source Projects with LLM Insights","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","","","","1638","1644","0","0","10.1145/3696630.3728699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013960365&doi=10.1145%2F3696630.3728699&partnerID=40&md5=9d3275dce288f40417322b42275ae62f","The analysis of continuous integration and continuous deployment (CI/CD) pipeline configurations offers critical insights into modern software development practices. This paper leverages advanced large language models (LLMs) - DeepSeek-V2 and GPT-4o - to examine pipeline definition files from 28,770 popular GitHub repositories, uncovering adoption trends across CI/CD practices. Our LLM-driven approach reveals near-universal implementation of build (80.0%) and test (80.2%) stages, contrasted by lower adoption of specialized practices like static application security testing (SAST) (12.1%), containerization (17.9%), and cloud deployment (4.2%). System-specific patterns emerge, with Travis CI leading in build automation (99.2%) and GitHub Actions excelling in linting (44.9%) and SAST (16.5%), reflecting distinct system strengths. By harnessing LLMs to parse and interpret complex pipeline files at scale, this study not only maps the CI/CD landscape but also demonstrates the transformative potential of artificial intelligence in software engineering research. We propose future work to refine LLM-based tools for pipeline analysis and address adoption gaps, aiming to enhance CI/CD accessibility and effectiveness across diverse projects. © 2025 Elsevier B.V., All rights reserved.","Code Repositories; Continuous Deployment; Continuous Integration; Experience; Large Language Models; Open Source Software; Open Systems; Software Design; Application Security; Code Repository; Continuous Deployment; Continuous Integrations; Experience; Language Model; Large Language Model; Open Source Projects; Pipeline Configuration; Security Testing; Pipelines","Open source software; Open systems; Software design; Application security; Code repository; Continuous deployment; Continuous integrations; Experience; Language model; Large language model; Open source projects; Pipeline configuration; Security testing; Pipelines","Conference paper","Final","","Scopus","2-s2.0-105013960365"
"I., Ahmed, Iftekhar; A., Aleti, Aldeida; H., Cai, Haipeng; A.N., Chatzigeorgiou, Alexander N.; P., He, Pinjia; X., Hu, Xing; M., Pezzè, Mauro; D., Poshyvanyk, Denys; X., Xia, Xin","Ahmed, Iftekhar (57209289155); Aleti, Aldeida (35092219900); Cai, Haipeng (55834953100); Chatzigeorgiou, Alexander N. (6701702023); He, Pinjia (56241158600); Hu, Xing (57191413796); Pezzè, Mauro (35581208100); Poshyvanyk, Denys (13613571900); Xia, Xin (54586248800)","57209289155; 35092219900; 55834953100; 6701702023; 56241158600; 57191413796; 35581208100; 13613571900; 54586248800","Artificial Intelligence for Software Engineering: The Journey So Far and the Road Ahead","2025","ACM Transactions on Software Engineering and Methodology","34","5","119","","","0","2","10.1145/3719006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008824150&doi=10.1145%2F3719006&partnerID=40&md5=4c32b5f4b5f2f4aac24984086a23d113","Artificial intelligence and recent advances in deep learning architectures, including transformer networks and large language models, change the way people think and act to solve problems. Software engineering, as an increasingly complex process to design, develop, test, deploy, and maintain large-scale software systems for solving real-world challenges, is profoundly affected by many revolutionary artificial intelligence tools in general and machine learning in particular. In this roadmap for artificial intelligence in software engineering, we highlight the recent deep impact of artificial intelligence on software engineering by discussing successful stories of applications of artificial intelligence to classic and new software development challenges. We identify the new challenges that the software engineering community has to address in the coming years to successfully apply artificial intelligence in software engineering, and we share our research roadmap toward the effective use of artificial intelligence in the software engineering profession, while still protecting fundamental human values.We spotlight three main areas that challenge the research in software engineering: the use of generative artificial intelligence and large language models for engineering large software systems, the need of large and unbiased datasets and benchmarks for training and evaluating deep learning and large language models for software engineering, and the need of a new code of digital ethics to apply artificial intelligence in software engineering. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Automated Software Development; Ethical Ai; Explainable Ai; Large Language Models; Machine Learning; Application Programs; Behavioral Research; Deep Learning; Engineering Research; Large Datasets; Large Scale Systems; Learning Systems; Professional Aspects; Software Testing; Automated Software Development; Complex Processes; Ethical Ai; Explainable Ai; Language Model; Large Language Model; Large-scale Software Systems; Learning Architectures; Machine-learning; Model Change; Software Design","Application programs; Behavioral research; Deep learning; Engineering research; Large datasets; Large scale systems; Learning systems; Professional aspects; Software testing; Automated software development; Complex Processes; Ethical AI; Explainable AI; Language model; Large language model; Large-scale software systems; Learning architectures; Machine-learning; Model change; Software design","Article","Final","","Scopus","2-s2.0-105008824150"
"M., Pezzè, Mauro; S.M., Abrahão, Silvia Mara; B., Penzenstadler, Birgit; D., Poshyvanyk, Denys; A., Roychoudhury, Abhik; T., Yue, Tao","Pezzè, Mauro (35581208100); Abrahão, Silvia Mara (8211929700); Penzenstadler, Birgit (24765180000); Poshyvanyk, Denys (13613571900); Roychoudhury, Abhik (7005260419); Yue, Tao (25651096400)","35581208100; 8211929700; 24765180000; 13613571900; 7005260419; 25651096400","A 2030 Roadmap for Software Engineering","2025","ACM Transactions on Software Engineering and Methodology","34","5","118","","","0","0","10.1145/3731559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007514314&doi=10.1145%2F3731559&partnerID=40&md5=25b36ecfaa55ae822454ddc9cd1e1136","The landscape of software engineering has dramatically changed in recent years. The impressive advances of artificial intelligence are just the latest and most disruptive innovation that has remarkably changed the software engineering research and practice. This special issue shares a roadmap to guide the software engineering community in this confused era. This roadmap is the outcome of a 2-day intensive discussion at the 2030 Software Engineering workshop. The roadmap spotlights and discusses seven main landmarks in the new software engineering landscape: artificial intelligence for software engineering, human aspects of software engineering, software security, verification and validation, sustainable software engineering, automatic programming, and quantum software engineering. This editorial summarizes the core aspects discussed in the 37 papers that comprise the seven sections of the special issue and guides the interested readers throughout the issue. This roadmap is a living body that we will refine with follow-up workshops that will update the roadmap for a series of forthcoming ACM TOSEM special issues. © 2025 Elsevier B.V., All rights reserved.","A Roadmap For Software Engineering; Ai And Software Engineering; Ai For Verification And Validation; Automatic Programming; Generative Ai For Software Engineering; Human Factor In Software Engineering; Large Language Models For Software Engineering; Quantum Software Engineering; Security And Software Engineering; Sustainable Software Engineering; Application Programs; Computer Aided Software Engineering; Computer Operating Systems; Computer Software Maintenance; Computer Software Selection And Evaluation; Engineering Research; Human Engineering; Industrial Research; Model Checking; Search Engines; Software Packages; Software Prototyping; Software Quality; Software Testing; Utility Programs; A Roadmap For Software Engineering; Ai And Software Engineering; Ai For Verification And Validation; Generative Ai For Software Engineering; Human Factor In Software Engineering; Language Model; Large Language Model For Software Engineering; Quantum Software Engineering; Roadmap; Security And Software Engineering; Sustainable Softwares; Verification-and-validation; Software Design","Application programs; Computer aided software engineering; Computer operating systems; Computer software maintenance; Computer software selection and evaluation; Engineering research; Human engineering; Industrial research; Model checking; Search engines; Software packages; Software prototyping; Software quality; Software testing; Utility programs; A roadmap for software engineering; AI and software engineering; AI for verification and validation; Generative AI for software engineering; Human factor in software engineering; Language model; Large language model for software engineering; Quantum software engineering; Roadmap; Security and software engineering; Sustainable softwares; Verification-and-validation; Software design","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007514314"
"B., Martinović, Boris; R., Rozić, Robert","Martinović, Boris (59245588500); Rozić, Robert (57362502100)","59245588500; 57362502100","Perceived Impact of AI-Based Tooling on Software Development Code Quality","2025","SN Computer Science","6","1","63","","","0","3","10.1007/s42979-024-03608-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214428522&doi=10.1007%2Fs42979-024-03608-4&partnerID=40&md5=0a293b57a64f4787a04d3cf138b13c8d","Artificial intelligence (AI) is a powerful tool that can play a crucial role in software development. The integration of AI in that domain has allowed various AI-powered tools to emerge and have the potential to positively impact code quality. This article explores the perceived impact of AI tools on the quality of software development code. Through a survey conducted in various tech companies, the findings of this study aimed to provide a comprehensive understanding of the current state and potential future trends of artificial intelligence in software engineering. The overall results show that there is high satisfaction among developers using AI tools, with more than three-quarters of them stating that the adoption of these tools positively impacted their overall satisfaction and productivity in the software development sector. Although there are relatively mediocre values in terms of grades in development satisfaction with readability, maintainability, efficiency, and precision, there is an overall positive perceived outlook for AI tools. There is room for growth in both adoption and refinement, especially when talking about developer-centric tools. © 2025 Elsevier B.V., All rights reserved.","Ai Tools; Artificial Intelligence; Code Quality; Perceived Ai Impact; Software Development","","Article","Final","","Scopus","2-s2.0-85214428522"
"I.K., Schieferdecker, Ina K.","Schieferdecker, Ina K. (57030660000)","57030660000","The Power of Models for Software Engineering","2025","Lecture Notes in Computer Science","15240 LNCS","","","67","80","0","1","10.1007/978-3-031-73887-6_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208021747&doi=10.1007%2F978-3-031-73887-6_7&partnerID=40&md5=005ec8ec3f774457e319a72b96fc6cdb","This paper reviews the development of Model-Driven Software Engineering (MDSE) from its origins to the present day. The paper discusses the components of models, modelling activities, and the challenges and open issues in MDSE. It reviews the adoption of modelling languages and their use in MDSE processes. Selected tool sets and frameworks are presented. The paper concludes with a review of the still unresolved relationship and implications of Artificial Intelligence (AI) for software engineering, including MDSE, and the coming developments in the Internet of Collaboration for distributed MDSE. Throughout the paper, Tiziana Margaria’s research and dissemination contributions in these areas are highlighted. © 2024 Elsevier B.V., All rights reserved.","Modelling; Software Engineering; Testing; Verification And Validation; Computer Aided Software Engineering; Distributed Models; Model-driven Software Engineerings; Modeling; Power; Software Engineering Process; Toolsets; Verification-and-validation; Software Testing","Computer aided software engineering; Distributed models; Model-driven software engineerings; Modeling; Power; Software engineering process; Toolsets; Verification-and-validation; Software testing","Book chapter","Final","","Scopus","2-s2.0-85208021747"
"F., Zhang, Fan; Q., Wu, Qiang; M., Peng, Manman; Y., Shen, Yuanyuan","Zhang, Fan (58085861100); Wu, Qiang (57188698093); Peng, Manman (16314125500); Shen, Yuanyuan (57225942845)","58085861100; 57188698093; 16314125500; 57225942845","Specialized model initialization and architecture optimization for few-shot code search","2025","Information and Software Technology","177","","107571","","","0","1","10.1016/j.infsof.2024.107571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203529216&doi=10.1016%2Fj.infsof.2024.107571&partnerID=40&md5=316cb05cdddd8236fa564f7594289142","Context: Code search aims to find relevant code snippets from a codebase given a natural language query. It not only boosts developer efficiency but also improves the performance of tasks such as code generation and program repair, thus becoming one of the crucial tasks in software engineering. Objective: However, recent works are mainly designed for mainstream programming languages with abundant training data. We aim to address the challenges of code search for domain-specific programming languages with limited training data by proposing a novel two-stage, few-shot code search framework named SMIAO. Method: SMIAO includes a specialized model initialization and an architecture optimization stage. In the first stage, we first quantitatively identify a mainstream programming language's dataset that is semantically closest to a target few-shot programming language. Then, we enrich the dataset with hard samples and train an Adapter-GraphCodeBERT model to obtain well-initialized parameters. In the second stage, we first design a search space for the initialized Adapter-GraphCodeBERT model. Then, we employ neural architecture search to optimize the Adapter modules’ positions and quantities in the GraphCodeBERT layers, tailoring for real-world few-shot code search tasks. Results: We conduct experiments on a publicly available dataset to demonstrate the effectiveness and rationality of SMIAO. The experimental results show that SMIAO outperforms other state-of-the-art baselines. Conclusion: Using mainstream languages’ datasets to initialize Adapter-GraphCodeBERT models, followed by adjusting the quantities and positions of Adapter modules within the GraphCodeBERT layers by neural architecture search, can effectively improve the performance of few-shot code search tasks. © 2024 Elsevier B.V., All rights reserved.","Ai For Software Engineering; Code Search; Code Understanding; Information Retrieval; Neural Architecture Search; Query Languages; Semantics; Structured Query Language; Ai For Software Engineering; Architecture Optimization; Code Search; Code Understanding; Model Initialization; Modeling Architecture; Neural Architecture Search; Neural Architectures; Performance; Search Tasks; Software Architecture","Query languages; Semantics; Structured Query Language; AI for software engineering; Architecture optimization; Code search; Code understanding; Model initialization; Modeling architecture; Neural architecture search; Neural architectures; Performance; Search tasks; Software architecture","Article","Final","","Scopus","2-s2.0-85203529216"
"S., Liu, Shangqing; D., Guo, Daya; J., Zhang, Jian; W., Ma, Wei; Y., Li, Yanzhou; Y., Liu, Yang","Liu, Shangqing (57218717656); Guo, Daya (57208444652); Zhang, Jian (58504298500); Ma, Wei (56302098400); Li, Yanzhou (57426650900); Liu, Yang (56911879800)","57218717656; 57208444652; 58504298500; 56302098400; 57426650900; 56911879800","An Empirical Study of Exploring the Capabilities of Large Language Models in Code Learning","2025","IEEE Transactions on Software Engineering","","","","","","0","0","10.1109/TSE.2025.3609876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016813321&doi=10.1109%2FTSE.2025.3609876&partnerID=40&md5=376b0cca912e33a982a664bfb48a44d2","Since the advent of ChatGPT, large language models (LLMs) have attracted widespread attention from academia and industry. They have also brought significant changes to software engineering. However, until now, there has been a lack of comprehensive studies comparing LLMs with previous smaller code pre-trained models. To address this gap, we conduct a study in this paper to illustrate the performance of LLMs in different software engineering tasks. Specifically, we select three open-source large language models, CodeGen, LLaMA, and StarCoder, for the research targets, and our study is conducted from four aspects, including code syntax understanding, code semantic reasoning, encoding representation quality, and adaptation performance for different software engineering tasks to compare LLMs with previous code pre-trained models. Four aspects build on each other, forming important components of AI for Software Engineering. We conclude that: (1) Compared with previous smaller pre-trained models like CodeBERT, LLMs exhibit distinct trends in how they learn code syntax or semantics as the number of layers increases. Additionally, mastering code semantics proves to be more challenging, with semantic information usually learned in the final layers; (2) Causal decoder architecture with left-to-right attention masking does not perform well in zero-shot tasks; (3) For classification tasks, the mean vector representation generated by LLMs over a sequence tends to outperform the last token representation in the sequence; (4) Incorporating parameter-efficient fine-tuning techniques into LLMs for downstream tasks can help LLMs achieve better performance than previous code pre-trained models on code generation tasks but may not be optimal in some code understanding tasks; (5) LoRA emerges as a more effective PEFT technique for LLMs in downstream code-related tasks. We hope these findings will better guide future researchers in designing more powerful code models. © 2025 Elsevier B.V., All rights reserved.","Code Pre-trained Models; Large Language Models; Parameter-efficient Fine-tuning; Probing Analysis; Artificial Intelligence; Open Source Software; Professional Aspects; Semantics; Software Quality; Tuning; Code Pre-trained Model; Code Semantics; Down-stream; Engineering Tasks; Fine Tuning; Language Model; Large Language Model; Parameter-efficient Fine-tuning; Performance; Probing Analyze; Syntactics","Artificial intelligence; Open source software; Professional aspects; Semantics; Software quality; Tuning; Code pre-trained model; Code semantics; Down-stream; Engineering tasks; Fine tuning; Language model; Large language model; Parameter-efficient fine-tuning; Performance; Probing analyze; Syntactics","Article","aip","","Scopus","2-s2.0-105016813321"
"N., Nwasra, Nedal; J., Zaraqu, Jamal; Z.H., Qaisar, Zahid Hussain","Nwasra, Nedal (57189688760); Zaraqu, Jamal (59981866300); Qaisar, Zahid Hussain (37461780600)","57189688760; 59981866300; 37461780600","Improving Software Reliability Through Bug Detection and Automated Error Repair Using Transformer-Based Models","2025","","","","","","","0","0","10.1109/ICCIAA65327.2025.11013645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010024945&doi=10.1109%2FICCIAA65327.2025.11013645&partnerID=40&md5=37b612ed46b747eb760ea6a12620a214","Automated bug detection and repair are critical in determining the reliability and cost of software development. To address these concerns, this research uses a transformer-based sequence-to-sequence model called CodeT5, together with the Defects4J dataset, which contains real Java programs with officially identified buggy and fixed versions. The approach involves retrieving buggy and fixed code pairs, pretraining CodeT5 for sequence-to-sequence learning, and then evaluating the model using the BLEU, EM, and ED measures. This model got translated sentences' BLEU 78.4%, Exact Match, rate 64.2% and accuracy 82.0%. While having an average edit distance of 12.3 operations, the generated fixes suggest how slight modifications can be made to produce semantically and syntactically correct fixes with little human intuition or input. This work shows that program repair can benefit from applying state-of-the-art deep learning algorithms and realistic benchmark datasets. The outcomes point to possible uses for enhancing directions of software creation and shortening the hours spent on debugging. Future work will be dedicated to using similar techniques in different languages and handling different types of bugs. © 2025 Elsevier B.V., All rights reserved.","Automated Bug Detection; Bleu Score; Codet5; Defects4j; Edit Distance; Exact Match; Machine Learning In Software Engineering; Program Repair; Sequence-to-sequence Models; Software Reliability; Artificial Intelligence; Automation; Computer Programming Languages; Defects; Error Detection; Program Debugging; Repair; Software Design; Automated Bug Detection; Bleu Score; Bug Detection; Codet5; Defects4j; Edit Distance; Exact Match; Machine Learning In Software Engineering; Machine-learning; Program Repair; Sequence Models; Sequence-to-sequence Model; Software-reliability; Software Reliability","Artificial intelligence; Automation; Computer programming languages; Defects; Error detection; Program debugging; Repair; Software design; Automated bug detection; BLEU score; Bug detection; Codet5; Defects4j; Edit distance; Exact match; Machine learning in software engineering; Machine-learning; Program repair; Sequence models; Sequence-to-sequence model; Software-Reliability; Software reliability","Conference paper","Final","","Scopus","2-s2.0-105010024945"
"R.O., Andrade, Roberto Omar; J.G., Torres, Jenny Gabriela; P.C., Flores, Pamela Catherine; E., Cabezas, Erick; J., Segovia, Jorge","Andrade, Roberto Omar (57211402331); Torres, Jenny Gabriela (12240687000); Flores, Pamela Catherine (55953626900); Cabezas, Erick (59566422000); Segovia, Jorge (59565969600)","57211402331; 12240687000; 55953626900; 59566422000; 59565969600","Adaptive Abstraction with AI for Managing Software Antipatterns Throughout the Software Lifecycle","2025","","","","","35","38","0","0","10.1109/Designing66910.2025.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009629466&doi=10.1109%2FDesigning66910.2025.00013&partnerID=40&md5=dc469367f9bde61d8a976733e7f3c5cf","Antipatterns, commonly described as solutions that initially appear promising but have negative consequences, present significant risks in software development, particularly with respect to security. This paper explores the classification of antipatterns in various domains, such as architecture, design, and implementation, while highlighting their impact on cybersecurity. We propose the integration of Artificial Intelligence (AI) and Machine Learning (ML) to detect and mitigate antipatterns in real-time through automated tooling and DevOps pipelines. Furthermore, the role of abuse stories in requirement elicitation and the application of UML diagrams for identifying antipatterns are examined. The paper culminates with a framework for AI-driven antipattern management within modern software development, illustrating its potential through case studies and practical experiments. © 2025 Elsevier B.V., All rights reserved.","Abstraction; Ai In Software Engineering; Antipatterns Detection; Software Lifecycle; Artificial Intelligence; Cybersecurity; Learning Systems; Software Design; Abstraction; Anti-patterns; Antipatterns Detections; Architecture Designs; Artificial Intelligence In Software Engineering; Artificial Intelligence Learning; Cyber Security; Design And Implementations; Machine-learning; Software Life Cycles; Abstracting; Life Cycle","Artificial intelligence; Cybersecurity; Learning systems; Software design; Abstraction; Anti-patterns; Antipatterns detections; Architecture designs; Artificial intelligence in software engineering; Artificial intelligence learning; Cyber security; Design and implementations; Machine-learning; Software life cycles; Abstracting; Life cycle","Conference paper","Final","","Scopus","2-s2.0-105009629466"
"A., Naman, Agrawal; R., Shariffdeen, Ridwan; G., Wang, Guanlin; S., Rasnayaka, Sanka; G., Neelakanta Iyer, Ganesh","Naman, Agrawal (59565199700); Shariffdeen, Ridwan (57193416876); Wang, Guanlin (58870719900); Rasnayaka, Sanka (57188832037); Neelakanta Iyer, Ganesh (37090716000)","59565199700; 57193416876; 58870719900; 57188832037; 37090716000","Analysis of Student-LLM Interaction in a Software Engineering Project","2025","","","","","112","119","0","0","10.1109/LLM4Code66737.2025.00019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009088814&doi=10.1109%2FLLM4Code66737.2025.00019&partnerID=40&md5=211c5bb78e5a096b1598ac67f0fb9fc3","Large Language Models (LLMs) are becoming increasingly competent across various domains, educators are showing a growing interest in integrating these LLMs into the learning process. Especially in software engineering, LLMs have demonstrated qualitatively better capabilities in code summarization, code generation, and debugging. Despite various research on LLMs for software engineering tasks in practice, limited research captures the benefits of LLMs for pedagogical advancements and their impact on the student learning process. To this extent, we analyze 126 undergraduate students' interaction with an AI assistant during a 13-week semester to understand the benefits of AI for software engineering learning. We analyze the conversations, code generated, code utilized, and the human intervention levels to integrate the code into the code base.Our findings suggest that students prefer ChatGPT over CoPilot. Our analysis also finds that ChatGPT generates responses with lower computational complexity compared to CoPilot. Furthermore, conversational-based interaction helps improve the quality of the code generated compared to auto-generated code. Early adoption of LLMs in software engineering is crucial to remain competitive in the rapidly developing landscape. Hence, the next generation of software engineers must acquire the necessary skills to interact with AI to improve productivity. © 2025 Elsevier B.V., All rights reserved.","Ai For Software Engineering; Llm For Code Generation; Llm For Learning; Software Engineering Education; Computer Software; Education Computing; Engineering Education; Learning Systems; Students; Teaching; Ai For Software Engineering; Codegeneration; Language Model; Large Language Model For Code Generation; Large Language Model For Learning; Learning Process; Model Interaction; Software Engineering Education; Software Engineering Projects; Codes (symbols)","Computer software; Education computing; Engineering education; Learning systems; Students; Teaching; AI for software engineering; Codegeneration; Language model; Large language model for code generation; Large language model for learning; Learning process; Model interaction; Software engineering education; Software engineering projects; Codes (symbols)","Conference paper","Final","","Scopus","2-s2.0-105009088814"
"S., Honarvar, Shahin","Honarvar, Shahin (57219483700)","57219483700","Evaluating Correct-Consistency and Robustness in Code-Generating LLMs","2025","","","","","797","800","0","0","10.1109/ICST62969.2025.10988971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007552396&doi=10.1109%2FICST62969.2025.10988971&partnerID=40&md5=b9ad80d5e3dbfcb331bd7fe216d07275","Ensuring the reliability of large language models (LLMs) for code generation is crucial for their safe integration into software engineering practices, especially in safety-critical domains. Despite advances in LLM tuning, they frequently generate incorrect code, raising concerns about robustness and trustworthiness. This PhD research introduces Turbulence, a novel benchmark and evaluation framework designed to assess both the correct-consistency and robustness of LLMs through a structured coding question neighbourhood approach. By evaluating model performance across sets of semantically related but non-equivalent coding tasks, Turbulence identifies discontinuities in LLM generalisation, revealing patterns of success and failure that standard correctness evaluations often overlook. Applied to 22 instruction-tuned LLMs across Python coding question neighbourhoods, the benchmark highlights significant variability in correctness, including error patterns persisting even under deterministic settings. Future work will extend the question neighbourhood concept to Capture The Flag (CTF) challenges, enabling a deeper analysis of model reasoning capabilities in progressively complex tasks. This extension has attracted interest from the UK AI Safety Institute, which recognises the frame-work's potential for advancing rigorous evaluation methodologies in the context of safe and trusted AI for software engineering. © 2025 Elsevier B.V., All rights reserved.","Code Generation; Correct-consistency; Evaluation; Large Language Models; Robustness; Computer Aided Software Engineering; Computer Software Maintenance; Machine Oriented Languages; Report Generators; Software Design; Software Quality; Software Reliability; Codegeneration; Correct-consistency; Evaluation; Language Model; Large Language Model; Model Tuning; Neighbourhood; Robustness; Safety-critical Domain; Software Engineering Practices; Python","Computer aided software engineering; Computer software maintenance; Machine oriented languages; Report generators; Software design; Software quality; Software reliability; Codegeneration; Correct-consistency; Evaluation; Language model; Large language model; Model tuning; Neighbourhood; Robustness; Safety-critical domain; Software engineering practices; Python","Conference paper","Final","","Scopus","2-s2.0-105007552396"
