"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"G.C., Duque-Gimenez, Grecia C.; D.F., Zambrano-Gutierrez, Daniel Fernando; M., Rodriguez-Nieto, Maricela; J.L., Menchaca, Jorge Luis; J.M., Cruz-Duarte, Jorge Mario; D.G., Zarate-Triviño, D. G.; J.G., Avina-Cervantes, Juan Gabriel; J.C., Ortiz-Bayliss, José Carlos","Duque-Gimenez, Grecia C. (60078997000); Zambrano-Gutierrez, Daniel Fernando (58088009500); Rodriguez-Nieto, Maricela (57212173904); Menchaca, Jorge Luis (60078280300); Cruz-Duarte, Jorge Mario (58951312800); Zarate-Triviño, D. G. (34980165500); Avina-Cervantes, Juan Gabriel (6507093766); Ortiz-Bayliss, José Carlos (25723655700)","60078997000; 58088009500; 57212173904; 60078280300; 58951312800; 34980165500; 6507093766; 25723655700","Viscoelastic characterization of the human osteosarcoma cancer cell line MG-63 using a fractional-order zener model through automated algorithm design and configuration","2025","Scientific Reports","15","1","31436","","","0","0","10.1038/s41598-025-16174-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014599449&doi=10.1038%2Fs41598-025-16174-3&partnerID=40&md5=d6d1769a2063160515a4a1e5860234c0","Understanding the viscoelastic properties of cells is essential for studying their mechanical behavior and identifying disease-related biomechanical markers. This paper proposes an integrated framework that combines fractional modeling with automated algorithm design to fit force-relaxation data acquired through atomic force microscopy. We employ the fractional-order zener model to describe cell relaxation curves and formulate the parameter estimation as a black-box optimization problem. To solve it, we implement a Randomized Constructive Hyper-Heuristic with Local Search (RCHH-LS) that automatically generates tailored metaheuristics (MHs) by exploring combinations of search operators. Our results show that the best-performing MH, composed of two swarm-based dynamics and a local random-walk operator (), achieves a performance of, representing a 75% improvement over the mean of all candidate configurations. Subsequent hyperparameter tuning with Optuna reduces this value to, a further 4.7% gain relative to the untuned version while preserving high stability and repeatability. In an evaluation of 21 instances (force-relaxation curves), the tuned provided the best result in 19 cases, achieving an average of, about 12% better than the best two-operator alternative and a coefficient of variation below 0.01%, underscoring its generalization capability. The FOZ model fitted using this solver generalizes well to independent datasets and captures critical viscoelastic parameters. We also confirm that,, and are sensitive to the applied force via a statistical analysis, while remains stable, reinforcing its association with intrinsic cell properties. These results highlight the effectiveness of combining fractional viscoelastic modeling with automated MH design for robust and interpretable mechanical characterization of cells. The proposed approach reduces manual intervention, ensures generalizability, and offers a scalable solution for computational biomechanics. © 2025 Elsevier B.V., All rights reserved.","Atomic Force Microscopy; Automated Algorithm Design; Cells; Fractional-order Zener Model; Hyper-heuristic; Metaheuristic; Viscoelasticity; Algorithm; Atomic Force Microscopy; Biomechanics; Elasticity; Human; Osteosarcoma; Pathology; Tumor Cell Line; Viscosity; Algorithms; Biomechanical Phenomena; Cell Line, Tumor; Elasticity; Humans; Microscopy, Atomic Force; Osteosarcoma; Viscosity","algorithm; atomic force microscopy; biomechanics; elasticity; human; osteosarcoma; pathology; tumor cell line; viscosity; Algorithms; Biomechanical Phenomena; Cell Line, Tumor; Elasticity; Humans; Microscopy, Atomic Force; Osteosarcoma; Viscosity","Article","Final","","Scopus","2-s2.0-105014599449"
"N., van Stein, Niki; T.H.W., Bäck, Thomas H.W.","van Stein, Niki (58337706000); Bäck, Thomas H.W. (57203312747)","58337706000; 57203312747","LLaMEA: Automatically Generating Metaheuristics with Large Language Models","2025","","","","","81","82","0","0","10.1145/3712255.3734231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014588918&doi=10.1145%2F3712255.3734231&partnerID=40&md5=2f1974c58043f17f442fc31b2bbeb553","This paper summarizes our recent work published in IEEE Transactions on Evolutionary Computation (2025), entitled “LLaMEA: A Large Language Model Evolutionary Algorithm for Automatically Generating Metaheuristics”. In this work we propose a novel evolutionary algorithm framework that leverages large language models (LLMs) like GPT-4 to automatically generate, evaluate, and refine metaheuristic optimization algorithms. Evaluations on the BBOB benchmark suite demonstrate that algorithms automatically discovered by LLaMEA can outperform established state-of-the-art methods, such as CMA-ES and DE, especially on lower-dimensional optimization problems. Our results illustrate the significant potential of using LLMs for automated algorithm design, setting a new direction for evolutionary computation research. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Discovery; Code Generation; Evolutionary Computation; Large Language Models; Metaheuristics; Optimization; Automatic Programming; Evolutionary Algorithms; Heuristic Algorithms; Algorithm Framework; Automated Algorithm Discovery; Automated Algorithms; Codegeneration; Language Model; Large Language Model; Metaheuristic; Metaheuristic Optimization; Optimisations; Optimization Algorithms; Optimization","Automatic programming; Evolutionary algorithms; Heuristic algorithms; Algorithm framework; Automated algorithm discovery; Automated algorithms; Codegeneration; Language model; Large language model; Metaheuristic; Metaheuristic optimization; Optimisations; Optimization algorithms; Optimization","Conference paper","Final","","Scopus","2-s2.0-105014588918"
"A., Viktorin, Adam; M., Pluháček, Michal; J., Kovac, Jozef; T., Kadavy, Tomas; R., Senkerik, Roman","Viktorin, Adam (57189030395); Pluháček, Michal (55445026800); Kovac, Jozef (59144533500); Kadavy, Tomas (57193707951); Senkerik, Roman (23975048900)","57189030395; 55445026800; 59144533500; 57193707951; 23975048900","Regarding Context Size in LLM-Based Metaheuristic Design","2025","","","","","2345","2353","0","0","10.1145/3712255.3734351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014587621&doi=10.1145%2F3712255.3734351&partnerID=40&md5=ea5924a2c39e8194d50c3ac5d4e2795b","The recent and rapid progress in large language models (LLMs) has markedly influenced research efforts in the automated design and configuration of metaheuristic algorithms. A common limitation of contemporary LLMs is their finite context window, which constrains the amount of information they can effectively utilize during generation. In this study, we investigate the role of conversational context in the metaheuristic design process. This study explores two distinct aspects of LLM-based metaheuristic design: (1) the effect of conversational context on the performance of generated optimizers, and (2) its influence on the validity of generated code. Both are investigated using the EASE framework. The findings yield several unexpected insights, which are discussed in detail in the paper, offering a deeper understanding of how context affects the reliability and effectiveness of LLM-assisted algorithm generation. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Code Synthesis; Conversational Context; Evolutionary Computation; Gpt-4o; Large Language Models; Metaheuristics; Automation; Codes (symbols); Computer Aided Design; Heuristic Algorithms; Human Engineering; Optimization; Automated Algorithm Designs; Automated Design; Code Synthesis; Conversational Context; Gpt-4o; Language Model; Large Language Model; Metaheuristic; Model-based Opc; Research Efforts; Evolutionary Algorithms","Automation; Codes (symbols); Computer aided design; Heuristic algorithms; Human engineering; Optimization; Automated algorithm designs; Automated design; Code synthesis; Conversational context; GPT-4o; Language model; Large language model; Metaheuristic; Model-based OPC; Research efforts; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-105014587621"
"N., van Stein, Niki","van Stein, Niki (58337706000)","58337706000","Neighborhood Adaptive Differential Evolution","2025","","","","","1","2","0","0","10.1145/3712255.3735092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014587420&doi=10.1145%2F3712255.3735092&partnerID=40&md5=b026ef7c13c72d0d8bb46955c9fa8821","We introduce Neighborhood Adaptive DE, an automatically designed variant of Differential Evolution (DE) tuned specifically for Many Affine Black-Box Optimization benchmark functions. The algorithm was generated by the Large Language Model Evolutionary Algorithm LLaMEA approach, which employed a (4,12) Evolution Strategy in combination with the large language model Gemini-2.0-Flash to generate new optimization algorithms. Key features of Neighborhood Adaptive DE include sampling a small, randomly chosen subset of ‘neighbors’ for each individual and using the best among those as the base vector in mutation (instead of the global best). This neighborhood-based strategy, along with adaptive tuning of scale factor P and crossover rate CR, leads to greater diversity and mitigates premature convergence. Additionally, an automatic restart mechanism re-initializes the population upon detecting stagnation. Experimental benchmarking indicates that Neighborhood Adaptive DE outperforms other algorithms on the benchmark, including the winner of last-years Many Affine competition, suggesting that automated design with LLaMEA can yield novel, high-performance algorithms for challenging black-box optimization tasks. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Black-box Optimization; Differential Evolution; Large Language Models; Adaptive Algorithms; Automation; Evolutionary Algorithms; Optimization; Optimization Algorithms; Automated Algorithm Designs; Benchmark Functions; Black-box Optimization; Differential Evolution; Evolution Strategies; Key Feature; Language Model; Large Language Model; Neighbourhood; Benchmarking","Adaptive algorithms; Automation; Evolutionary algorithms; Optimization; Optimization algorithms; Automated algorithm designs; Benchmark functions; Black-box optimization; Differential Evolution; Evolution strategies; Key feature; Language model; Large language model; Neighbourhood; Benchmarking","Conference paper","Final","","Scopus","2-s2.0-105014587420"
"H., Yin, Haoran; T.H.W., Bäck, Thomas H.W.; A.V., Kononova, Anna V.; N., van Stein, Niki","Yin, Haoran (58902892800); Bäck, Thomas H.W. (57203312747); Kononova, Anna V. (8729046100); van Stein, Niki (58337706000)","58902892800; 57203312747; 8729046100; 58337706000","Optimizing Photonic Structures with Large Language Model Driven Algorithm Discovery","2025","","","","","2354","2362","0","0","10.1145/3712255.3734288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014587202&doi=10.1145%2F3712255.3734288&partnerID=40&md5=ab630d8c0f71dab044cce3160f1b3250","We study how large language models (LLMs) can be used in combination with evolutionary computation techniques to automatically discover optimization algorithms for the design of photonic structures. Building on the Large Language Model Evolutionary Algorithm (LLaMEA) framework, we introduce structured prompt engineering tailored to multilayer photonic problems such as Bragg mirror, ellipsometry inverse analysis and solar cell antireflection coatings. We systematically explore multiple configurations of Evolution Strategies, including (1+1), (1+5), (2+10) and others, to balance exploration and exploitation. Our experiments show that LLM-generated algorithms, generated using small-scale problem instances, can match or surpass established methods like Quasi-oppositional Differential Evolution on large-scale realistic real-world problem instances. Notably, LLaMEA’s self-debugging mutation loop, augmented by automatically extracted problem-specific insights, achieves strong anytime performance and reliable convergence across diverse problem scales. This work demonstrates the feasibility of domain-focused LLM prompts and evolutionary approaches in solving optical design tasks, paving the way for rapid, automated photonic inverse design. Such an approach is broadly applicable and can transform design processes across a wide range of scientific and engineering domains. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Black-box Optimization; Domain-specific Prompting; Evolution Strategies; Inverse Design; Large Language Models; Photonic Structures; Photonics Benchmarking; Benchmarking; Computer Vision; Evolutionary Algorithms; Inverse Problems; Object Oriented Programming; Photonic Devices; Structural Design; Structural Optimization; Automated Algorithm Designs; Black-box Optimization; Domain Specific; Domain-specific Prompting; Evolution Strategies; Inverse Designs; Language Model; Large Language Model; Photonic Benchmarking; Photonic Structure; Optical Design","Benchmarking; Computer vision; Evolutionary algorithms; Inverse problems; Object oriented programming; Photonic devices; Structural design; Structural optimization; Automated algorithm designs; Black-box optimization; Domain specific; Domain-specific prompting; Evolution strategies; Inverse designs; Language model; Large language model; Photonic benchmarking; Photonic structure; Optical design","Conference paper","Final","","Scopus","2-s2.0-105014587202"
"Y., Zhang, Yisong; G., Yi, Guoxing","Zhang, Yisong (59302268200); Yi, Guoxing (8908043300)","59302268200; 8908043300","LAOS: Large Language Model-Driven Adaptive Operator Selection for Evolutionary Algorithms","2025","","","","","517","526","0","0","10.1145/3712256.3726450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013081113&doi=10.1145%2F3712256.3726450&partnerID=40&md5=765177c995ce5e2e9e31a4941562a85d","Adaptive Operator Selection (AOS) is a strategy in Evolutionary Algorithms (EAs) that dynamically adjusts the application frequency of operators to enhance search efficiency based on online performance feedback. This paper introduces LAOS, an AOS framework driven by Large Language Models (LLMs). We design a meta-prompt to provide optimization state information (such as optimization progress, best fitness, and population diversity) and operator credit assignment, assisting LLMs in making adaptive decisions. Furthermore, LAOS maintains a dual-layer replay buffer structure: the offline layer records historical experiences under fixed operator strategies, while the online layer accumulates dynamically generated experiences during execution. By employing a similar experience sampling strategy, the framework can provide decision-making support for LLMs, enhancing both the efficiency and accuracy of search strategies. Experimental results on continuous numerical optimization and three categories of combinatorial optimization problems validate the effectiveness and generalization capability of LAOS. This study demonstrates the feasibility of leveraging LLMs for AOS, showcasing their potential in enhancing optimization performance and supporting automated algorithm design. © 2025 Elsevier B.V., All rights reserved.","Adaptive Operator Selection; Landscape Analysis; Large Language Models; Parameter Control; Adaptive Control Systems; Combinatorial Optimization; Decision Making; Efficiency; Adaptive Operator Selections; Landscape Analysis; Language Model; Large Language Model; Model-driven; On-line Performance; Optimisations; Parameter Control; Performance Feedback; Search Efficiency; Evolutionary Algorithms","Adaptive control systems; Combinatorial optimization; Decision making; Efficiency; Adaptive operator selections; Landscape analysis; Language model; Large language model; Model-driven; On-line performance; Optimisations; Parameter control; Performance feedback; Search efficiency; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-105013081113"
"X., Xue, Xinru; T., Shu, Ting; J., Xia, Jinsong","Xue, Xinru (59963476300); Shu, Ting (36747082200); Xia, Jinsong (36129059500)","59963476300; 36747082200; 36129059500","Automated Generation of Hybrid Metaheuristics Using Learning-to-Rank","2025","Algorithms","18","6","316","","","0","0","10.3390/a18060316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009057942&doi=10.3390%2Fa18060316&partnerID=40&md5=4258a42aa7a7adc44687650ded6509d7","Metaheuristic algorithms, due to their superior global exploration capabilities and applicability, have emerged as critical tools for addressing complicated optimization tasks. However, these algorithms commonly depend on expert knowledge to configure parameters and design strategies. As a result, they frequently lack appropriate automatic behavior adjustment methods for dealing with changing problem features or dynamic search phases, limiting their adaptability, search efficiency, and solution quality. To address these limitations, this paper proposes an automated hybrid metaheuristic algorithm generation method based on Learning to Rank (LTR-MHA). The LTR-MHA aims to achieve adaptive optimization of algorithm combination strategies by dynamically fusing the search behaviors of Whale Optimization (WOA), Harris Hawks Optimization (HHO), and the Genetic Algorithm (GA). At the core of the LTR-MHA is the utilization of Learning-to-Rank techniques to model the mapping between problem features and algorithmic behaviors, to assess the potential of candidate solutions in real-time, and to guide the algorithm to make better decisions in the search process, thereby achieving a well-adjusted balance between the exploration and exploitation stages. The effectiveness and efficiency of the LTR-MHA method are evaluated using the CEC2017 benchmark functions. The experiments confirm the effectiveness of the proposed method. It delivers superior results compared to individual metaheuristic algorithms and random combinatorial strategies. Notable improvements are seen in average fitness, solution precision, and overall stability. Our approach offers a promising direction for efficient search capabilities and adaptive mechanisms in automated algorithm design. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Generation; Genetic Algorithm; Harris Hawks Optimization Algorithm; Learning To Rank; Metaheuristic Algorithms; Whale Optimization Algorithm; Automation; Heuristic Algorithms; Learning Algorithms; Automated Algorithm Generation; Automated Algorithms; Automated Generation; Harris Hawk Optimization Algorithm; Hybrid Metaheuristics; Meta-heuristics Algorithms; Optimisations; Optimization Algorithms; Whale Optimization Algorithm; Efficiency","Automation; Heuristic algorithms; Learning algorithms; Automated algorithm generation; Automated algorithms; Automated generation; Harris hawk optimization algorithm; Hybrid metaheuristics; Meta-heuristics algorithms; Optimisations; Optimization algorithms; Whale optimization algorithm; Efficiency","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009057942"
"P., He, Peng; X., Jiang, Xuchu; Q., Wang, Qi; B., Zhang, Biao","He, Peng (59273221300); Jiang, Xuchu (56433857900); Wang, Qi (59662368300); Zhang, Biao (56303891700)","59273221300; 56433857900; 59662368300; 56303891700","Multi-objective Human-robot collaborative batch scheduling in distributed hybrid flowshop via automatic design of local search-reconstruction-feedback algorithm","2025","Computers and Industrial Engineering","203","","110983","","","0","1","10.1016/j.cie.2025.110983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219223625&doi=10.1016%2Fj.cie.2025.110983&partnerID=40&md5=8e3c0922a8228f06a50702f0964efa6b","The emergence of distributed production models has spurred extensive research on distributed hybrid flowshop scheduling. Despite advancements in resource allocation for flowshops, most studies overlook human-robot collaboration, which remains essential for complex manufacturing processes in real-world production. Additionally, the rise of multi-variety, small-batch production has driven widespread adoption of batch scheduling. Therefore, this paper introduces a multi-objective distributed hybrid flowshop batch scheduling problem with human-robot collaboration (DHFBSP_HC), aiming to minimize makespan and total energy consumption simultaneously. To address this issue, we propose a local search-reconstruction-feedback (LSRF) algorithm, which consists of four core components: population initialization, local search, reconstruction, and feedback mechanism. Additionally, the algorithm incorporates three configurable strategies, including fitness evaluation approaches, initialization approaches, and objective normalization approaches. These configurable strategies are regarded as categorical parameters, whereas the other parameters are referred to as numerical parameters. To select categorical and numerical parameters that can optimize the results of multi-objective DHFBSP_HC, we introduce the automated algorithm design and use I/F-Race to optimize parameter settings. Through comparisons with several state-of-the-art algorithms, we demonstrate the effectiveness and superiority of the LSRF algorithm in solving the multi-objective DHFBSP_HC. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Distributed Hybrid Flowshop Scheduling; Human-robot Collaborative Scheduling; Multi-objective Optimization; Local Search (optimization); Microrobots; Multiobjective Optimization; Resource Allocation; Scheduling Algorithms; Automated Algorithm Designs; Batch-scheduling; Collaborative Scheduling; Distributed Hybrid Flowshop Scheduling; Human Robots; Human-robot Collaborative Scheduling; Hybrid Flow Shop; Hybrid Flow Shop Scheduling; Multi Objective; Multi-objectives Optimization; Collaborative Robots","Local search (optimization); Microrobots; Multiobjective optimization; Resource allocation; Scheduling algorithms; Automated algorithm designs; Batch-scheduling; Collaborative scheduling; Distributed hybrid flowshop scheduling; Human robots; Human-robot collaborative scheduling; Hybrid flow shop; Hybrid flow shop scheduling; Multi objective; Multi-objectives optimization; Collaborative robots","Article","Final","","Scopus","2-s2.0-85219223625"
"F., Zhao, Fuqing; Y., Du, Yuqing; F., Yin, Fumin","Zhao, Fuqing (7402049794); Du, Yuqing (59149949900); Yin, Fumin (59492853000)","7402049794; 59149949900; 59492853000","A PPO-guided multi-population co-evolution algorithm for Distributed Flexible Assembly Flowshop Scheduling Problem","2025","","","","","602","608","0","0","10.1145/3704558.3707106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217846801&doi=10.1145%2F3704558.3707106&partnerID=40&md5=2e562665678ae400888a159ce36d103d","A distributed flexible assembly flowshop scheduling problem(DFAFSP), which holds significant applications in modern large-scale manufacturing systems, is investigated in this paper. A PPO-guided multi-population co-evolution algorithm (PPO-MPCE) is introduced in response to the DFAFSP problem. Automatic algorithm design and a co-evolution among two populations are utilized to minimize the total flowtime objective in DFAFSP. A three-segment encoding method is devised for DFAFSP, and each segment implements a unique search strategy tailored to address the problem from a distinct physical perspective. Eight search states and a reward function are designed to evaluate the current population state for the PPO mechanism. Finally, the performance of random-MPCE, PPO-MPCE, and five existing algorithms are evaluated on 68 small-scale and 30 large-scale test instances. Simulation experiments in this paper indicate that the proposed algorithms outperform the latest algorithms in performance. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Co-evolution; Distributed Flexible Assembly Flowshop Scheduling; Proximal Policy Optimization; Assembly; Flexible Manufacturing Systems; Large Scale Systems; Optimization Algorithms; Assembly Flowshops; Automated Algorithm Designs; Co-evolution; Distributed Flexible Assembly Flowshop Scheduling; Flexible Assembly; Flow Shop Scheduling Problem; Flow-shop Scheduling; Flowshop Scheduling Problems; Policy Optimization; Proximal Policy Optimization; Scheduling Algorithms","Assembly; Flexible manufacturing systems; Large scale systems; Optimization algorithms; Assembly flowshops; Automated algorithm designs; Co-evolution; Distributed flexible assembly flowshop scheduling; Flexible Assembly; Flow shop scheduling problem; Flow-shop scheduling; Flowshop scheduling problems; Policy optimization; Proximal policy optimization; Scheduling algorithms","Conference paper","Final","","Scopus","2-s2.0-85217846801"
"X., Zhao, Xiaohui; X., Li, Xia; Q., Zhao, Qi; B., Yan, Bai; Y., Shi, Yuhui; J., Kang, Jiajin","Zhao, Xiaohui (58303803500); Li, Xia (55891554400); Zhao, Qi (57192871922); Yan, Bai (57192876182); Shi, Yuhui (7404964007); Kang, Jiajin (58100968700)","58303803500; 55891554400; 57192871922; 57192876182; 7404964007; 58100968700","Integrated model and automatically designed solver for power system restoration","2025","Applied Soft Computing","169","","112525","","","0","0","10.1016/j.asoc.2024.112525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211079360&doi=10.1016%2Fj.asoc.2024.112525&partnerID=40&md5=02f226bc76c5bae162bd7454a44c0f35","Power system restoration strategies schedule the power plants to re-energize the power network and loads after a blackout. These strategies are of great significance to ensure a resilient power system. Most power system restoration models consider either certain restoration stage(s) or all stages, with each or some of the stages managed independently. They destroy the essential characteristics of the interaction among the restoration stages and lead to sub-optimal solutions. To address this issue, in this paper, we first propose an improved integrated power system restoration (IPSR) model covering the entire restoration process without decoupling and sectionalization. We then develop both mathematical and metaheuristic solvers for the proposed model. In particular, we introduce the automated solver design paradigm to the highly non-linear constrained restoration problem-solving. By the paradigm, we automatically design the metaheuristic solver that gains enhanced performance beyond handcrafted solvers without algorithmic expertise. It is suggested that the automatically designed metaheuristic solver is a promising new option in variable and complicated power system operation scenarios without algorithmic expertise. Finally, a comprehensive case study demonstrates the proposed model's significance and the proposed solver's efficiency. Numerical tests show that the proposed IPSR model and solver obtained over 20% lower restoration time than current restoration methods, demonstrating IPSR's and the proposed solver's efficiency and effectiveness. © 2024 Elsevier B.V., All rights reserved.","Automated Algorithm Design; Black Start; Metaheuristic; Power System Restoration; Algorithmics; Automated Algorithm Designs; Black Start; Integrated Modeling; Integrated Power Systems; Metaheuristic; Power; Power System Restoration; Restoration Model; Restoration Strategies; Power Systems Computer Aided Design","Algorithmics; Automated algorithm designs; Black start; Integrated modeling; Integrated Power Systems; Metaheuristic; Power; Power system restoration; Restoration model; Restoration strategies; Power systems computer aided design","Article","Final","","Scopus","2-s2.0-85211079360"
"F., Ming, Fei; W., Gong, Wenyin; B., Xue, Bing; M., Zhang, Mengjie; Y., Jin, Yaochu","Ming, Fei (57225078621); Gong, Wenyin (23090822300); Xue, Bing (55329093700); Zhang, Mengjie (8729040400); Jin, Yaochu (57201346599)","57225078621; 23090822300; 55329093700; 8729040400; 57201346599","Automated Configuration of Evolutionary Algorithms via Deep Reinforcement Learning for Constrained Multiobjective Optimization","2025","IEEE Transactions on Cybernetics","","","","","","0","0","10.1109/TCYB.2025.3603251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015157136&doi=10.1109%2FTCYB.2025.3603251&partnerID=40&md5=f37bbf14435dc03d28c0bfe3ec9f0e33","Learning to optimize and automated algorithm design are attracting increasing attention, but it is still in its infancy in constrained multiobjective optimization evolutionary algorithms (CMOEAs). Current learning-assisted CMOEAs are typically crafted by human experts using manually designed techniques, which tend to be overly tuned, ad hoc, and lacking versatility. To alleviate these limitations, this work proposes transforming the online configuration of CMOEA into determinations of discrete and continuous parameters, which are then solved by deep reinforcement learning (DRL) techniques. Specifically, the Actor–Critic framework is adapted to determine a factor that defines the environmental selection pressure. The deep Q-learning technique is adopted to determine the operators for producing offspring. Owing to the property of DRL, the configured algorithm can accommodate historical experience, current evolutionary dynamics, and future improvements to achieve self-learning. A new CMOEA is proposed using the automatically configured evolutionary algorithm. Experiments on four challenging benchmarks and 21 real-world problems verify that our method significantly outperforms 11 state-of-the-art methods. The versatility and superiority of the automatically configured environment and operators over handcrafted methods justify the effectiveness of the automated configuration method, demonstrating a promising direction in evolutionary multiobjective optimization. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Configuration; Constrained Multiobjective Optimization; Drl; Evolutionary Algorithms (eas); Learning To Optimize; Automation; Constrained Optimization; Deep Learning; Deep Reinforcement Learning; Evolutionary Algorithms; Learning Algorithms; Reinforcement Learning; 'current; Algorithm Configurations; Automated Algorithm Configuration; Automated Algorithms; Automated Configuration; Constrained Multiobjective Optimization; Evolutionary Algorithm; Learning To Optimize; Multi-objective Optimization Evolutionary Algorithms; Reinforcement Learnings; Multiobjective Optimization","Automation; Constrained optimization; Deep learning; Deep reinforcement learning; Evolutionary algorithms; Learning algorithms; Reinforcement learning; 'current; Algorithm configurations; Automated algorithm configuration; Automated algorithms; Automated configuration; Constrained multiobjective optimization; Evolutionary algorithm; Learning to optimize; Multi-objective optimization evolutionary algorithms; Reinforcement learnings; Multiobjective optimization","Article","aip","","Scopus","2-s2.0-105015157136"
"D.F., Zambrano-Gutierrez, Daniel Fernando; J., Ramos-Frutos, Jorge; O., Ramos-Soto, Oscar; J.G., Avina-Cervantes, Juan Gabriel; D.A., Oliva, Diego Alberto; J.M., Cruz-Duarte, Jorge Mario","Zambrano-Gutierrez, Daniel Fernando (58088009500); Ramos-Frutos, Jorge (57211589425); Ramos-Soto, Oscar (57221931764); Avina-Cervantes, Juan Gabriel (6507093766); Oliva, Diego Alberto (55391699600); Cruz-Duarte, Jorge Mario (58951312800)","58088009500; 57211589425; 57221931764; 6507093766; 55391699600; 58951312800","Automated Tailoring of Heuristic-Based Renyi's Entropy Maximizers for Efficient Melanoma Segmentation","2025","","","","","","","0","0","10.1109/CISM64958.2025.11060871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012117176&doi=10.1109%2FCISM64958.2025.11060871&partnerID=40&md5=4f17bf521849d75dc24d7b5a6574f408","Heuristic-based optimizers, such as Metaheuristics (MHs), are powerful and versatile tools for solving complex optimization problems. However, selecting the most suitable MH for a specific task remains challenging due to the many available options. High-level approaches, like Hyper-Heuristics (HHs) within the Automated Algorithm Design and Configuration framework, offer a promising solution by tailoring MHs to meet the particular requirements of each problem. This work presents a novel approach for generating custom MHs using an HH approach that combines Search Operators (SOs) from well-established MHs to maximize Renyi's entropy for efficient melanoma image segmentation. Our methodology automates the SO selection, resulting in a robust, metaphor-free MH design tailored for dermatoscopic image segmentation. Experimental results demonstrate that combining differential mutation and random flight operators achieves superior segmentation performance. This approach effectively reduces the computational burden and expert involvement, providing a great companion for skin cancer melanoma detection. © 2025 Elsevier B.V., All rights reserved.","Automated Algorithm Design And Configuration; Dermatoscopic Images; Hyper-heuristics; Melanoma Segmentation; Metaheuristics; Renyi's Entropy; Skin Cancer Detection; Automation; Dermatology; Diseases; Entropy; Heuristic Algorithms; Heuristic Methods; Oncology; Optimization; Algorithm Configurations; Automated Algorithm Design And Configuration; Automated Algorithm Designs; Cancer Detection; Dermatoscopic Image; Hyper-heuristics; Melanoma Segmentation; Metaheuristic; Renyi's Entropy; Skin Cancer Detection; Skin Cancers; Image Segmentation","Automation; Dermatology; Diseases; Entropy; Heuristic algorithms; Heuristic methods; Oncology; Optimization; Algorithm configurations; Automated algorithm design and configuration; Automated algorithm designs; Cancer detection; Dermatoscopic image; Hyper-heuristics; Melanoma segmentation; Metaheuristic; Renyi's entropy; Skin cancer detection; Skin cancers; Image segmentation","Conference paper","Final","","Scopus","2-s2.0-105012117176"
